threshold,sensitivity,specificity,fpr
0.478852691412576,0.7037037037037037,0.94,0.06000000000000005
0.47214549290459223,0.7037037037037037,0.93,0.06999999999999995
0.4671222225865747,0.7222222222222222,0.93,0.06999999999999995
0.4541682652444697,0.7222222222222222,0.92,0.07999999999999996
0.4451404389145565,0.7222222222222222,0.91,0.08999999999999997
0.4402003347009688,0.7407407407407407,0.91,0.08999999999999997
0.4339778078999275,0.7407407407407407,0.9,0.09999999999999998
0.4326727326277654,0.7407407407407407,0.89,0.10999999999999999
0.42970913835333285,0.7407407407407407,0.88,0.12
0.40896299560680716,0.7407407407407407,0.87,0.13
0.40699422256338147,0.7592592592592593,0.87,0.13
0.39578561283368835,0.7592592592592593,0.86,0.14
0.3933347765176374,0.7592592592592593,0.85,0.15000000000000002
0.3720324528967282,0.7777777777777778,0.85,0.15000000000000002
0.3709585709950236,0.7777777777777778,0.84,0.16000000000000003
0.36546963846699393,0.7777777777777778,0.83,0.17000000000000004
0.36389123348540237,0.7962962962962963,0.83,0.17000000000000004
0.3471945229625708,0.8148148148148148,0.83,0.17000000000000004
0.33682642136501806,0.8333333333333334,0.83,0.17000000000000004
0.33207710547890795,0.8518518518518519,0.83,0.17000000000000004
0.315686114429027,0.8703703703703703,0.83,0.17000000000000004
0.31076006169560244,0.8888888888888888,0.83,0.17000000000000004
0.304392830627407,0.8888888888888888,0.82,0.18000000000000005
0.2986018675625633,0.8888888888888888,0.81,0.18999999999999995
0.28296205739520497,0.8888888888888888,0.8,0.19999999999999996
0.2823097152289863,0.8888888888888888,0.79,0.20999999999999996
0.2797297170988959,0.8888888888888888,0.78,0.21999999999999997
0.2784226570368796,0.9074074074074074,0.78,0.21999999999999997
0.2685258645426917,0.9074074074074074,0.77,0.22999999999999998
0.25895230099848543,0.9074074074074074,0.76,0.24
0.25651072281404264,0.9074074074074074,0.75,0.25
0.25410384459203905,0.9074074074074074,0.74,0.26
0.25258971250194934,0.9259259259259259,0.74,0.26
0.2425284617572421,0.9259259259259259,0.73,0.27
0.2396874299652808,0.9259259259259259,0.72,0.28
0.23643323298991153,0.9444444444444444,0.72,0.28
0.23591123766183456,0.9629629629629629,0.72,0.28
0.2307983416479595,0.9629629629629629,0.71,0.29000000000000004
0.22746960719760384,0.9629629629629629,0.7,0.30000000000000004
0.21345423931656463,0.9629629629629629,0.69,0.31000000000000005
0.21123198079106398,0.9814814814814815,0.69,0.31000000000000005
0.2045978111781817,0.9814814814814815,0.68,0.31999999999999995
0.20363523827740868,0.9814814814814815,0.67,0.32999999999999996
0.19273871551140556,0.9814814814814815,0.66,0.33999999999999997
0.1924967859822832,0.9814814814814815,0.65,0.35
0.18509766894032006,0.9814814814814815,0.64,0.36
0.1849380974516501,0.9814814814814815,0.63,0.37
0.18292528100730693,0.9814814814814815,0.62,0.38
0.1742143989132209,0.9814814814814815,0.61,0.39
0.17380388076098743,0.9814814814814815,0.6,0.4
0.16708055489232332,0.9814814814814815,0.59,0.41000000000000003
0.16511202887279017,0.9814814814814815,0.58,0.42000000000000004
0.161892199795258,0.9814814814814815,0.57,0.43000000000000005
0.15553234625078935,0.9814814814814815,0.56,0.43999999999999995
0.1553093404994425,0.9814814814814815,0.55,0.44999999999999996
0.15081031153497174,0.9814814814814815,0.54,0.45999999999999996
0.14469869215342757,0.9814814814814815,0.53,0.47
0.13872213348648255,0.9814814814814815,0.52,0.48
0.13825883580105916,0.9814814814814815,0.51,0.49
0.13378895857394646,0.9814814814814815,0.5,0.5
0.12447542019179086,0.9814814814814815,0.49,0.51
0.12162688962647847,0.9814814814814815,0.48,0.52
0.1176212317236769,0.9814814814814815,0.47,0.53
0.11675124585027612,0.9814814814814815,0.46,0.54
0.11673079456811732,0.9814814814814815,0.45,0.55
0.11670365192998076,0.9814814814814815,0.44,0.56
0.11233896772663896,0.9814814814814815,0.43,0.5700000000000001
0.11206501593710519,0.9814814814814815,0.42,0.5800000000000001
0.11138867203419754,0.9814814814814815,0.41,0.5900000000000001
0.11007203497234487,0.9814814814814815,0.4,0.6
0.10944992982974043,0.9814814814814815,0.39,0.61
0.10910977614633478,0.9814814814814815,0.38,0.62
0.10882870128806735,1,0.38,0.62
0.10778007494841561,1,0.37,0.63
0.10770804796579486,1,0.36,0.64
0.10679319159834266,1,0.35,0.65
0.10674912583896476,1,0.34,0.6599999999999999
0.10597467034742938,1,0.33,0.6699999999999999
0.1053526231911548,1,0.32,0.6799999999999999
0.10517914040841667,1,0.31,0.69
0.10391886614670226,1,0.3,0.7
0.1031107089109578,1,0.29,0.71
0.10191720765994368,1,0.28,0.72
0.09953139571569772,1,0.27,0.73
0.09544891049435927,1,0.26,0.74
0.09004861174763958,1,0.25,0.75
0.08761402791587834,1,0.24,0.76
0.08322618028338905,1,0.23,0.77
0.0812188082755758,1,0.22,0.78
0.08008677152734231,1,0.21,0.79
0.0771883405862722,1,0.2,0.8
0.07711512994987532,1,0.19,0.81
0.07698547295866981,1,0.18,0.8200000000000001
0.0756075688890982,1,0.17,0.83
0.07489626996016913,1,0.16,0.84
0.07334076398061777,1,0.15,0.85
0.07172157796012046,1,0.14,0.86
0.06195420606050963,1,0.13,0.87
0.056676607816163314,1,0.12,0.88
0.05661869951601399,1,0.11,0.89
0.053317601869467796,1,0.1,0.9
0.050770193559510665,1,0.09,0.91
0.04919389830136991,1,0.08,0.92
0.046525319962417815,1,0.07,0.9299999999999999
0.042790194110683286,1,0.06,0.94
0.04248975515679098,1,0.05,0.95
0.030780818696148654,1,0.04,0.96
0.02167277719324503,1,0.03,0.97
0.02043232039238409,1,0.02,0.98
0.020211770998355204,1,0.01,0.99
0.019297027370778982,1,0,1
-Inf,1,0,1
